2theta	Intensity
	69_100
5.0	852.5508522569232
5.02	770.0452526647932
5.04	791.3982119311889
5.06	799.933422363393
5.08	725.6406952906766
5.1	701.8459599096154
5.12	688.538262138074
5.14	665.7097634778085
5.16	673.3527398856395
5.18	584.7895806531418
5.2	613.3477872948024
5.22	592.3499724445985
5.24	565.1228587609435
5.26	574.9902778399546
5.28	491.9451691369907
5.3	475.97957889641333
5.32	473.7516590895216
5.34	461.9206663606119
5.36	493.81196098111695
5.38	472.7520058117733
5.4	405.39936527277104
5.42	405.0807043218388
5.44	461.7887874402158
5.46	435.51547762646464
5.48	429.58873539807695
5.5	427.3326178008278
5.52	458.7422774258286
5.54	357.14396143423716
5.56	349.1970105895742
5.58	364.8948582976039
5.6	370.8990296537318
5.62	383.86814049787523
5.64	340.4628964767591
5.66	354.0110921135959
5.68	311.1726098851021
5.7	288.609419305807
5.72	262.9805760196121
5.74	314.2802208985533
5.76	385.8375791487241
5.78	234.3119594233172
5.8	243.03275294273863
5.82	361.99243262175264
5.84	247.8535522036134
5.86	283.9437454011427
5.88	226.9247250447076
5.9	286.7902822370595
5.92	330.20328551498784
5.94	233.82368001775188
5.96	294.315486662243
5.98	228.33780132484122
6.0	235.8877940299185
6.02	210.2937081449545
6.04	211.5498595822183
6.06	199.65263600697557
6.08	257.9304960521858
6.1	226.37896853964156
6.12	238.32765170751446
6.14	250.43721244426797
6.16	212.7043855288926
6.18	175.12597287742898
6.2	204.3628427957372
6.22	200.41092923847094
6.24	196.6012310742202
6.26	206.26181135678382
6.28	209.38879660253104
6.3	192.64637607381127
6.32	192.69580106838367
6.34	202.86738421481283
6.36	179.82349877380778
6.38	210.22857794545547
6.4	170.745114182318
6.42	198.03665850835023
6.44	165.43281984360675
6.46	206.26326433469563
6.48	170.52471469094405
6.5	181.5479495262416
6.52	255.9958027065183
6.54	160.5331627028292
6.56	208.4879719500006
6.58	233.19322621081056
6.6	181.3099739456581
6.62	182.8373156876964
6.64	197.7724034233841
6.66	249.44443997842546
6.68	264.5176784090645
6.7	196.32342139869388
6.72	211.52502065974517
6.74	203.4538763408304
6.76	155.44043643909268
6.78	244.14919621773993
6.8	199.57669762871677
6.82	248.3885287404937
6.84	177.2483231709296
6.86	232.81975952517587
6.88	261.76856083859417
6.9	214.0914940246467
6.92	269.78636932773065
6.94	172.18503978092508
6.96	284.61840066860964
6.98	233.75138899393397
7.0	262.91398295109565
7.02	278.7732014023957
7.04	271.3251033600496
7.06	267.2347874727036
7.08	263.16739151664177
7.1	245.78809189164275
7.12	168.42810312145699
7.14	197.7526773588745
7.16	233.7591038953439
7.18	203.11370867513074
7.2	292.4808538139567
7.22	191.85793712211776
7.24	264.57839163202624
7.26	300.6406851301629
7.28	276.70831969340156
7.3	279.4478312296767
7.32	275.5237890229634
7.34	271.60279528254665
7.36	334.34848469653826
7.38	270.4265239896222
7.4	269.83661148499397
7.42	232.57647667046908
7.44	285.3118797687246
7.46	281.37461131164923
7.48	277.430491718778
7.5	286.81237087977047
7.52	299.51812774092036
7.54	338.88066989564715
7.56	328.23093317896536
7.58	274.2368812658845
7.6	326.89550527372404
7.62	319.5398233683084
7.64	335.5018803740088
7.66	284.78174738763147
7.68	310.7105213960906
7.7	289.95532489785165
7.72	312.51430552813855
7.74	281.7196356878386
7.76	270.9055121761169
7.78	300.0701558266854
7.8	332.54581114771537
7.82	314.998745965366
7.84	340.76125107089433
7.86	333.16663987132574
7.88	375.54724804367083
7.9	334.5694331926309
7.92	383.56457451181194
7.94	312.5340724483715
7.96	294.80934837112204
7.98	373.72384424202374
8.0	352.6090222910686
8.02	361.466364694523
8.04	270.2943732564985
8.06	319.09156909383375
8.08	324.5264923242615
8.1	313.2627017578303
8.12	348.63577459156596
8.14	363.9763061073461
8.16	362.61890937294703
8.18	347.89521494627775
8.2	373.1388705827305
8.22	388.35054094566505
8.24	456.8609073199702
8.26	532.0056673287011
8.28	623.7825346527715
8.3	538.8582387536487
8.32	517.2335245990678
8.34	458.9071523917103
8.36	433.878897300842
8.38	372.14954919688336
8.4	383.7179123888803
8.42	378.5838053648788
8.44	340.0810605351487
8.46	348.20952397825556
8.48	332.9680551899562
8.5	371.0245268348834
8.52	359.04382450102287
8.54	377.02784645693123
8.56	374.97550341169637
8.58	366.21971827760245
8.6	320.7604259355055
8.62	371.9315730028459
8.64	379.73311760434837
8.66	387.4970291453216
8.68	398.5582880875774
8.7	372.9168857279363
8.72	413.90482397929765
8.74	364.85611515426524
8.76	419.1037817512695
8.78	393.3148562432486
8.8	437.4903808687498
8.82	404.9614074255539
8.84	365.729997066706
8.86	409.7962200989985
8.88	423.8251557838423
8.9	374.484892140538
8.92	371.77552575190737
8.94	365.6961615722737
8.96	406.2479127377776
8.98	380.0969003789934
9.0	373.9112534358454
9.02	364.35610847478927
9.04	381.4316095082646
9.06	398.4729078163507
9.08	402.14516177066497
9.1	412.449536660458
9.12	429.3862045208891
9.14	429.6213439634255
9.16	356.4891400084615
9.18	373.32178391998434
9.2	410.12147304241194
9.22	366.8874106394686
9.24	360.2858057351634
9.26	390.31787295684376
9.28	406.9838323802158
9.3	376.94990937646423
9.32	370.21633446133205
9.34	423.4503431461969
9.36	396.65317579110234
9.38	326.49007745977895
9.4	329.62829777654974
9.42	402.7350907852039
9.44	345.8117148097416
9.46	398.8564323169878
9.48	358.5375097811541
9.5	401.52121755013894
9.52	394.47582971377307
9.54	374.0666239737965
9.56	336.96088151571735
9.58	386.4928868823929
9.6	365.9959278494464
9.62	325.4702953023573
9.64	371.5832831153974
9.66	377.66718803220795
9.68	380.3913095481328
9.7	376.41994979420963
9.72	349.0894134228946
9.74	341.7310074954023
9.76	381.0130413707186
9.78	383.6018265962463
9.8	399.49867680007014
9.82	405.36990758481517
9.84	384.54883642312035
9.86	383.7027825546673
9.88	376.16506688478535
9.9	335.27001188457166
9.92	411.0179414925886
9.94	373.40818101807076
9.96	335.7750570455952
9.98	361.45289734128914
10.0	373.77403076049603
10.02	352.73978715690976
10.04	328.3504972931353
10.06	340.6054927527199
10.08	359.50610585357356
10.1	345.052669562838
10.12	343.9115174130859
10.14	389.41698341997363
10.16	361.5684020012234
10.18	313.70010789693663
10.2	369.14643609131804
10.22	371.23972173567535
10.24	386.6483000727169
10.26	325.371506362226
10.28	320.7436758079738
10.3	306.0971434858999
10.32	291.43424427359446
10.34	306.75431278102667
10.36	322.05668328246395
10.38	334.0106896496899
10.4	292.614665286408
10.42	297.8689430638384
10.44	356.44185525750316
10.46	358.33373348521746
10.48	336.8769086462415
10.5	345.4057108615478
10.52	353.92046941530845
10.54	309.08751269742936
10.56	347.5751681472818
10.58	302.71676219846654
10.6	324.5116202247797
10.62	299.62806648713763
10.64	324.7324240816777
10.66	256.4910148888823
10.68	301.5721595237518
10.7	336.6411772870185
10.72	325.03338611744556
10.74	290.0821025450507
10.76	318.45364164541047
10.78	303.4823169949085
10.8	291.83444062709793
10.82	320.17732298980974
10.84	308.51127290346886
10.86	303.5025975202176
10.88	318.4866022840363
10.9	323.46259089178767
10.92	301.7638652552121
10.94	283.3907254637536
10.96	245.01046974842998
10.98	309.95739444645847
11.0	318.230793966851
11.02	283.164960756876
11.04	264.75918526931605
11.06	223.0147559306945
11.08	227.93195911025745
11.1	236.1770790898116
11.12	317.75039803439836
11.14	235.986195963834
11.16	254.2177507249155
11.18	299.11233796459766
11.2	304.0022311038444
11.22	258.8897013122744
11.24	243.77401748363977
11.26	248.65444621198426
11.28	283.53325176862404
11.3	258.4096960797723
11.32	256.6170387050805
11.34	224.82253681665665
11.36	249.69244517904704
11.38	284.56201612974223
11.4	222.76349956049057
11.42	234.29714289925292
11.44	202.49719109284675
11.46	207.36388659030968
11.48	195.5634693268196
11.5	190.4301767084224
11.52	238.63024359724008
11.54	270.1639022975262
11.56	341.69838254217274
11.58	293.23491147984606
11.6	258.1047136629274
11.62	276.31001103584885
11.64	307.85102292417633
11.66	299.39296602413947
11.68	250.93705439295053
11.7	242.48449943951692
11.72	277.36650991578034
11.74	215.585291908708
11.76	230.47404883267268
11.78	175.3659814225101
11.8	166.92728772715623
11.82	231.82616310357554
11.84	193.39480021152235
11.86	218.3013890086184
11.88	243.21111674603134
11.9	194.7931679645561
11.92	233.04572449137032
11.94	217.9689654370747
11.96	242.89806719342073
11.98	214.49820343129585
12.0	182.77054509938048
12.02	187.71526042317987
12.04	189.33151490442438
12.06	180.95447132115518
12.08	209.24928972795152
12.1	170.88312745687858
12.12	149.19013911864954
12.14	167.50347660431567
12.16	152.49028908739987
12.18	154.14972302636147
12.2	125.81592216749019
12.22	167.4900275482258
12.24	159.1701775008289
12.26	144.1915076565318
12.28	159.21915094992042
12.3	130.92223762375656
12.32	149.2988952342947
12.34	107.6832486567117
12.36	142.74142009110406
12.38	114.47552906875794
12.4	129.54969245866656
12.42	171.3000244746334
12.44	129.7246366824846
12.46	104.82363800761291
12.48	79.93213474308436
12.5	71.71523055761614
12.52	136.84102650445334
12.54	118.64162103004551
12.56	150.45210998325805
12.58	138.9375866247327
12.6	147.43214163685556
12.62	105.93586313362707
12.64	191.11483667097917
12.66	92.97114525745278
12.68	138.16886936493816
12.7	160.0440869398788
12.72	101.9278734146094
12.74	107.15530171901341
12.76	145.72544229235228
12.78	134.30536309540716
12.8	96.22812962290686
12.82	91.49480491599829
12.84	116.7704495751938
12.86	115.39012177330065
12.88	114.01987726873236
12.9	115.99376941911473
12.92	134.6438491947136
12.94	126.63716519260129
12.96	128.64076365063707
12.98	157.32168846167923
13.0	86.0129811882986
13.02	101.38168107721071
13.04	163.42682507427133
13.06	148.81644783960587
13.08	197.54958176257355
13.1	99.626256977405
13.12	88.3805013786147
13.14	113.81234063670786
13.16	122.58779821422218
13.18	124.70689538155483
13.2	170.17065123327143
13.22	85.64508270440805
13.24	174.463204586931
13.26	123.29202954630983
13.28	208.79756813834473
13.3	134.314828826012
13.32	193.17581799644108
13.34	255.38053997805463
13.36	187.59699705788336
13.38	266.49018949876864
13.4	275.3941155570663
13.42	297.6417714999909
13.44	256.56715162361365
13.46	345.5032482702293
13.48	291.1170518466768
13.5	406.74055084210215
13.52	429.04273184607325
13.54	358.0215795667226
13.56	513.6770768491302
13.58	616.0112046934063
13.6	625.0219422734971
13.62	774.0432669552227
13.64	773.0751543152018
