name	PeakName	Position	PositionQ	Intensity	FWHM	PeakArea	IntegralBreadth
69_100		14.04	1.00	31639.33	0.10	4511.26	0.14
69_100		19.92	1.41	9492.96	0.12	1648.63	0.17
69_100		23.32	1.65	28267.10	0.12	4953.68	0.18
69_100		24.46	1.73	3385.46	0.12	738.39	0.22
69_100		26.46	1.87	4383.76	0.21	1373.72	0.31
69_100		28.30	1.99	29536.09	0.14	5045.77	0.17
69_100		31.74	2.23	4003.66	0.16	979.39	0.24
69_100		35.10	2.46	801.48	0.55	543.46	0.68
69_100		38.10	2.66	3550.74	0.25	1407.51	0.40
69_100		40.50	2.82	20424.78	0.19	4528.08	0.22
69_100		43.08	2.99	2085.47	0.18	462.96	0.22
69_100		47.72	3.30	825.62	0.25	415.80	0.50
69_100		50.14	3.46	730.14	0.26	403.79	0.55
69_100		58.58	3.99	836.78	0.15	305.85	0.37
