Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity
(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)
 	Pk16eVCsFA	 	Pk12eV	 	Total	 	Total absorptance	 	Transmittance	 	1-Reflectance	 	s_Lif	 	ITOsput030E20	 	SnO2	 	C60	 	NiOCSEMasdep	 	ITOsput1E20	 	SnO2	 	C60	 	s_ITO4	 	SiO2	 	Agpvlab
300.0	0.07939461674619322	300.0	1.1401546160573819e-09	300.0	0.07939461788634783	300.0	0.9822638476830846	300.0	1.6586564256273135e-22	300.0	0.9822638476830846	300.0	2.220446049250313e-16	300.0	0.8265475832296755	300.0	0.01608587607121259	300.0	0.06023576444342463	300.0	4.4577096125152917e-10	300.0	6.864716762539336e-10	300.0	2.9619099018935315e-09	300.0	1.95827135552712e-09	300.0	7.258861685913514e-20	300.0	1.504632769052528e-36	300.0	7.630645829680661e-21
305.0	0.09800111836009884	305.0	9.87901750532089e-10	305.0	0.09800111934800058	305.0	0.9807393583858727	305.0	3.1777133433637225e-22	305.0	0.9807393583858727	305.0	-6.661338147750939e-16	305.0	0.8021390111123616	305.0	0.01706299773410791	305.0	0.0635362260878251	305.0	3.1601691607155657e-10	305.0	4.480504661475024e-10	305.0	1.9028581539158648e-09	305.0	1.4366526325032139e-09	305.0	5.70341231994173e-20	305.0	0.0	305.0	7.279128538974503e-21
310.0	0.11667498361501867	310.0	7.918767683921729e-10	310.0	0.11667498440689544	310.0	0.9784482959992058	310.0	4.737887064405037e-22	310.0	0.9784482959992058	310.0	6.661338147750939e-16	310.0	0.7768973278619625	310.0	0.018031616734607597	310.0	0.06684436427130905	310.0	2.159980012861408e-10	310.0	2.8102952781273634e-10	310.0	1.2025614138641777e-09	310.0	1.024841573199272e-09	310.0	3.568056089796918e-20	310.0	-7.52316384526264e-37	310.0	5.299632867966628e-21
315.0	0.13471471516762212	315.0	6.003517900937639e-10	315.0	0.13471471576797392	315.0	0.9761068028405109	315.0	6.499539177517983e-22	315.0	0.9761068028405109	315.0	2.220446049250313e-16	315.0	0.7516417165986604	315.0	0.018537316756138122	315.0	0.07121305193335556	315.0	1.419608575500576e-10	315.0	1.7301678584663625e-10	315.0	7.422346821772436e-10	315.0	7.27170390963084e-10	315.0	2.3437604790895398e-20	315.0	0.0	315.0	3.746637445751015e-21
320.0	0.15142062506756968	320.0	4.4255535983757547e-10	320.0	0.15142062551012503	320.0	0.9744496522691715	320.0	4.698475676911004e-22	320.0	0.9744496522691715	320.0	-3.3306690738754696e-16	320.0	0.7271046232993443	320.0	0.018446099109648062	320.0	0.07747830315545665	320.0	9.301836980669278e-11	320.0	1.0978845690039528e-10	320.0	4.600917590140313e-10	320.0	5.316993121278164e-10	320.0	1.379142700159122e-20	320.0	-3.76158192263132e-37	320.0	2.282722529463634e-21
325.0	0.16649931947193455	325.0	3.293422153486604e-10	325.0	0.16649931980127677	325.0	0.9746183337576574	325.0	2.972245650229927e-22	325.0	0.9746183337576574	325.0	1.2212453270876722e-15	325.0	0.703275008221051	325.0	0.018100610012857954	325.0	0.0867433948640288	325.0	6.465486478408915e-11	325.0	7.592690604291049e-11	325.0	3.022553530182312e-10	325.0	4.156044844594607e-10	325.0	9.211962391526623e-21	325.0	-3.76158192263132e-37	325.0	1.5250235712487225e-21
330.0	0.18019853292440466	330.0	2.6188824664436506e-10	330.0	0.1801985331862929	330.0	0.9771313846610371	330.0	1.9279639330373106e-22	330.0	0.9771313846610371	330.0	-7.059302281534699e-58	330.0	0.6796631076904651	330.0	0.017349113677122496	330.0	0.09992062941431554	330.0	5.1229292333876635e-11	330.0	5.995540048145918e-11	330.0	2.1818441131488554e-10	330.0	3.634719976430197e-10	330.0	6.942610038612539e-21	330.0	1.88079096131566e-37	330.0	1.0652017570985708e-21
335.0	0.19375393368598276	335.0	2.3671755950270075e-10	335.0	0.19375393392270032	335.0	0.9819537485038488	335.0	1.223392900081793e-22	335.0	0.9819537485038488	335.0	-3.3306690738754696e-16	335.0	0.654999706728345	335.0	0.016007292024263597	335.0	0.1171928151766451	335.0	4.90615846275531e-11	335.0	5.5132675543040784e-11	335.0	1.7762630066394592e-10	335.0	3.70074459217304e-10	335.0	5.922862674074174e-21	335.0	-1.88079096131566e-37	335.0	8.343764814205937e-22
