Wavelength (nm),Pk12eV10C_n,Pk12eV10C_k
280,1.579386,0.7962385
281,1.582266,0.80103975
282,1.5868815,0.80552
283,1.5920906,0.810073867
284,1.5979386,0.8152432
285,1.601765438,0.818579438
286,1.604951688,0.821201438
287,1.610168562,0.824465812
288,1.614499187,0.828074562
289,1.617943563,0.832027688
290,1.62182725,0.83395525
291,1.62515225,0.836134562
292,1.62705975,0.839426438
293,1.629804625,0.8417265
294,1.632811938,0.843641625
295,1.634951312,0.845917875
296,1.637341,0.84931475
297,1.639981,0.85383225
298,1.642171,0.8573932
299,1.64484875,0.86076275
300,1.648333125,0.864004625
301,1.649591,0.867969
302,1.650852125,0.87177625
303,1.65435275,0.8742325
304,1.656747125,0.877615375
305,1.658404,0.881616
306,1.6599915,0.88551975
307,1.66225275,0.8898885
308,1.665524625,0.89495475
309,1.6668065,0.9000785
310,1.668345625,0.904893625
311,1.67290375,0.90841675
312,1.6760962,0.9116836
313,1.6783695,0.914957688
314,1.6805645,0.919834562
315,1.684296688,0.924233625
316,1.689566062,0.928154875
317,1.693462938,0.932813
318,1.697312875,0.937721937
319,1.701409125,0.943025063
320,1.705068313,0.94713775
321,1.70850925,0.950782688
322,1.71167175,0.954809562
323,1.71529175,0.9589205
324,1.71936925,0.9631155
325,1.72489575,0.965718625
326,1.730211,0.9684946
327,1.734657667,0.9720866
328,1.739767,0.976301
329,1.745129,0.9802265
330,1.750839,0.982374
331,1.75690075,0.98528575
332,1.763197,0.988707
333,1.76692325,0.992698875
334,1.771076,0.99627125
335,1.7758685,0.999214375
336,1.781866,1.0012035
337,1.788145625,1.00315125
338,1.79434875,1.0058875
339,1.799997625,1.008489875
340,1.805277,1.011003
341,1.810121,1.014604333
342,1.81650675,1.016772812
343,1.82443425,1.017508438
344,1.829657813,1.019025375
345,1.834766375,1.0208305
346,1.840307625,1.0231055
347,1.846587375,1.02351675
348,1.85300125,1.023390812
349,1.85777375,1.025618937
350,1.862607188,1.026118
351,1.867501562,1.024888
352,1.87393325,1.02508675
353,1.879277438,1.025732437
354,1.881685562,1.027050563
355,1.886665313,1.028100063
356,1.8925786,1.028905733
357,1.8969746,1.028553067
358,1.901090625,1.02867825
359,1.90502,1.029122
360,1.90852,1.030157
361,1.912804,1.032077
362,1.918264,1.0353245
363,1.923369,1.0355105
364,1.9284335,1.034819125
365,1.933691,1.03367975
366,1.938315125,1.033584
367,1.942517,1.034184
368,1.945526375,1.034888375
369,1.94950525,1.0352935
370,1.954938375,1.03524975
371,1.9585875,1.0351715
372,1.9617744,1.034956133
373,1.9648964,1.0342268
374,1.967961875,1.035106562
375,1.971085437,1.036655312
376,1.974949813,1.038018437
377,1.978352937,1.038954062
378,1.981294813,1.039462187
379,1.985358875,1.041642063
380,1.989678875,1.043398688
381,1.994305125,1.043734313
382,1.99795225,1.04436875
383,2.001226062,1.045260625
384,2.004916688,1.047316875
385,2.009067625,1.049000313
386,2.013678875,1.050310938
387,2.018435812,1.051674438
388,2.0234222,1.0528504
389,2.0289062,1.053575067
390,2.0328575,1.0530855
391,2.0364525,1.052794375
392,2.040155,1.05451125
393,2.043537625,1.056005
394,2.046707,1.05735
395,2.05180575,1.05967375
396,2.05699825,1.06137475
397,2.062331375,1.062141625
398,2.0674525,1.062045
399,2.07193875,1.062095625
400,2.0740975,1.06359875
401,2.078372375,1.0651195
402,2.084058,1.066652
403,2.088697375,1.068312625
404,2.093608733,1.069546867
405,2.098928067,1.070141533
406,2.103722063,1.071363125
407,2.108523687,1.072766688
408,2.113479312,1.074432312
409,2.11932,1.07570375
410,2.125483562,1.076703188
411,2.131139188,1.076775063
412,2.136216062,1.077006937
413,2.140714187,1.077398812
414,2.146267562,1.079060812
415,2.152198625,1.080549125
416,2.158737375,1.081302875
417,2.165501875,1.080950188
418,2.172135187,1.080157312
419,2.176717062,1.079670437
420,2.182122,1.079595333
421,2.18835,1.079932
422,2.19376375,1.079447625
423,2.199232,1.07943275
424,2.204782,1.080122125
425,2.2112145,1.080073
426,2.217762625,1.079750625
427,2.22389075,1.07907375
428,2.2304805,1.078263
429,2.237378,1.077363
430,2.243183,1.074638625
431,2.2481225,1.07261975
432,2.25176375,1.071659125
433,2.257639,1.0717075
434,2.26398825,1.071537625
435,2.2699995,1.06948575
436,2.27535975,1.0683425
437,2.280286,1.067805
438,2.288234667,1.066168333
439,2.29479275,1.064100938
440,2.29996025,1.061602812
441,2.30585225,1.059023125
442,2.311231687,1.056619812
443,2.315227312,1.054649187
444,2.320671938,1.052896438
445,2.32663275,1.0511375
446,2.33165025,1.0484825
447,2.336692125,1.045776875
448,2.341758375,1.043020625
449,2.34574125,1.0407065
450,2.349959625,1.038682437
451,2.355008375,1.037220563
452,2.3603835,1.035109438
453,2.3659006,1.0325924
454,2.3714366,1.0289264
455,2.37582075,1.02554375
456,2.379437,1.02235
457,2.383891375,1.01959375
458,2.38756325,1.01669475
459,2.390061375,1.013581625
460,2.3936245,1.0125605
461,2.397725125,1.011727125
462,2.40291075,1.00955275
463,2.40765725,1.007117
464,2.412111,1.004507
465,2.417064125,1.002003875
466,2.42182975,0.998767
467,2.426314125,0.9944295
468,2.4291305,0.9908055
469,2.431651067,0.987584467
470,2.4346564,0.9852618
471,2.437950687,0.983209187
472,2.44141775,0.981238687
473,2.44532525,0.978965562
474,2.449095875,0.97647775
475,2.452729625,0.97377525
476,2.4561485,0.971244312
477,2.459647562,0.968726812
478,2.463389438,0.966196188
